Runtimes (seconds)
k	runtime_seconds
2	65.513
3	112.277
4	105.512
5	110.163
6	108.801
7	113.468
8	111.176
9	109.458
10	109.316
11	107.897
12	108.682

Average distance to centroid
k	avg_distance
2	1.024520
3	0.981656
4	0.938152
5	0.893006
6	0.858193
7	0.798106
8	0.756767
9	0.726214
10	0.697245
11	0.675176
12	0.651296

Anomaly threshold and fraction
k	threshold	fraction_percent
2	16.386345	0.00
3	16.127876	0.00
60130483234	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	4	19.963348	0.050201	-0.20752	0.046387
42950902569	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	19.920282	0.26123	0.0045776	0.041504
42950982744	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	19.876998	0.26199	-0.0080872	0.058594
42950880301	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	19.866586	0.25742	0.02121	0.045166
60130580611	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	4	19.335866	-0.011749	-0.19684	4.9109
60130580619	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	4	19.222676	-0.016632	-0.1947	4.906
42950902570	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	19.173872	0.25162	0.011292	0.036621
42950880299	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	18.969296	0.25116	-0.0013733	0.062256
42950933752	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	4	18.838197	0.24796	-0.045319	0.047607

Top 25 outliers for k=6
point_id	source_file	prediction	distance	sensor_1	sensor_2	sensor_3
60130631298	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	37.184232	0.015717	0.37598	4.9414
60130631294	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	36.048472	0.0028992	-0.36285	4.928
60130580608	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	28.546799	0.046387	0.29297	4.9316
60130580607	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	25.488063	0.050812	0.26337	4.9268
42950620136	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	2	24.495739	0.32578	-0.042419	0.056152
60130631306	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	23.874495	0.040436	0.24857	4.9304
60130631302	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	22.458267	-0.0028992	-0.23254	4.9304
60130995085	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_37.csv	3	22.409207	0.013733	0.23483	0.068359
42950620137	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	2	22.373977	0.30136	-0.042725	0.053711
42950620135	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	2	21.927606	0.29816	-0.033112	0.048828
60130631303	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	21.650228	0.0074768	-0.22537	4.9292
42950982743	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	2	20.826923	0.28778	-0.016479	0.062256
60130631299	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	20.411403	0.01297	0.21561	4.939
60130548035	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	20.242254	0.036316	0.21408	0.037842
60130483234	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	4	19.948222	0.050201	-0.20752	0.046387
42950982742	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	2	19.531090	0.2713	-0.030212	0.057373
42950880300	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	2	19.062575	0.26794	0.0090027	0.043945
60130580611	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	4	18.833670	-0.011749	-0.19684	4.9109
60130580619	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	4	18.678983	-0.016632	-0.1947	4.906
42950982744	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	2	18.503523	0.26199	-0.0080872	0.058594
60130995082	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_37.csv	3	18.461993	0.015259	0.19714	0.058594
42950902569	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	2	18.444807	0.26123	0.0045776	0.041504
60130631295	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	18.427436	0.0022888	-0.19424	4.9353
60130277649	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_58.csv	3	18.425411	0.041809	0.19638	0.061035
42950880301	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	2	18.265825	0.25742	0.02121	0.045166

Top 25 outliers for k=7
point_id	source_file	prediction	distance	sensor_1	sensor_2	sensor_3
60130631298	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	36.946772	0.015717	0.37598	4.9414
60130631294	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	36.193146	0.0028992	-0.36285	4.928
60130580608	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	28.308296	0.046387	0.29297	4.9316
60130580607	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	25.248916	0.050812	0.26337	4.9268
42950620136	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	2	24.368670	0.32578	-0.042419	0.056152
60130631306	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	23.633431	0.040436	0.24857	4.9304
60130631302	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	22.592918	-0.0028992	-0.23254	4.9304
42950620137	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	2	22.246245	0.30136	-0.042725	0.053711
60130995085	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_37.csv	3	22.199966	0.013733	0.23483	0.068359
42950620135	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv	2	21.801559	0.29816	-0.033112	0.048828
60130631303	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	4	21.783665	0.0074768	-0.22537	4.9292
42950982743	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	2	20.704470	0.28778	-0.016479	0.062256
60130631299	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	20.166291	0.01297	0.21561	4.939
60130483234	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	4	20.162495	0.050201	-0.20752	0.046387
60130548035	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	20.036716	0.036316	0.21408	0.037842
